Title,❔ Notebook,📖 Wiki,👩‍👩‍👦‍👦 People,🖌️ Artifacts,Created time,Channel,Finished,Folder,Link,Note,Published Date,Status,Tags,Total Videos,URL,Video Duration
8 Most Important System Design Concepts You Should Know,,,,,"January 28, 2025 2:46 PM",,No,,https://www.youtube.com/watch?v=BTjxUS_PylA&type=snipo,,,To Learn,ByteByteGo,1,,00:06:04
Apache Kafka Fundamentals You Should Know,,,,,"January 28, 2025 2:58 PM",,No,,https://www.youtube.com/watch?v=-RDyEFvnTXI&type=snipo,,,To Learn,ByteByteGo,1,,00:04:54
How to choose the right database for your application - Zoe Steinkamp - NDC Oslo 2023,,,,,"January 29, 2025 9:04 AM",,No,,https://www.youtube.com/watch?v=hj2yFugmpz8&type=snipo,,,To Learn,NDC Conferences,1,,00:41:02
