Title,Chapter,Finished,Link,Note,Sequential,Status,Tags,Total Videos,Video Duration,my organized
100 - Maintenance & Retirement,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Zgs9H/maintenance-retirement?v=introduction-to-medical-software/lecture/Zgs9H/maintenance-retirement&list=introduction-to-medical-software&type=snipo,,"Deployment, Maintenance, and Retirement",To Learn,,1,00:11:55,
103 - Evaluation of ML Methods and Related Issues,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Psc9Q/evaluation-of-ml-methods-and-related-issues?v=introduction-to-medical-software/lecture/Psc9Q/evaluation-of-ml-methods-and-related-issues&list=introduction-to-medical-software&type=snipo,,"Artificial Intelligence, Machine Learning, and Deep Learning",To Learn,,1,00:08:44,
083 - Multiple Events,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/00kaG/multiple-events?v=introduction-to-medical-software/lecture/00kaG/multiple-events&list=introduction-to-medical-software&type=snipo,,Probability Overview,To Learn,,1,00:07:27,
102 - Introduction to AI/ML,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/XVTmN/introduction-to-ai-ml?v=introduction-to-medical-software/lecture/XVTmN/introduction-to-ai-ml&list=introduction-to-medical-software&type=snipo,,"Artificial Intelligence, Machine Learning, and Deep Learning",To Learn,,1,00:17:05,
090 - Importance of Randomization,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/18X0Y/importance-of-randomization?v=introduction-to-medical-software/lecture/18X0Y/importance-of-randomization&list=introduction-to-medical-software&type=snipo,,Tools for Clinical Trials,To Learn,,1,00:05:47,
059 - User Needs For Example Project,User Needs & System Requirements,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Tfmvy/user-needs-for-example-project?v=introduction-to-medical-software/lecture/Tfmvy/user-needs-for-example-project&list=introduction-to-medical-software&type=snipo,,Identifying User Needs,To Learn,,1,00:05:15,
052 - Image Guided Surgery,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/yJAN8/image-guided-surgery?v=introduction-to-medical-software/supplement/yJAN8/image-guided-surgery&list=introduction-to-medical-software&type=snipo,,The Example Project and a Guided Tour of the Process,To Learn,,1,00:10:00,
107 - Regulatory Guidance on AI/ML,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/aBOZX/regulatory-guidance-on-ai-ml?v=introduction-to-medical-software/lecture/aBOZX/regulatory-guidance-on-ai-ml&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:15:57,
108 - A Survey on Explainable Artificial Intelligence (XAI): Towards Medical XAI,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/qf5hr/a-survey-on-explainable-artificial-intelligence-xai-towards-medical-xai?v=introduction-to-medical-software/supplement/qf5hr/a-survey-on-explainable-artificial-intelligence-xai-towards-medical-xai&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:30:00,
080 - A Graphics Processing Unit Accelerated Motion Correction Algorithm and Modular System for Real-time fMRI,Construction and Testing,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/yqEHr/a-graphics-processing-unit-accelerated-motion-correction-algorithm-and-modular?v=introduction-to-medical-software/supplement/yqEHr/a-graphics-processing-unit-accelerated-motion-correction-algorithm-and-modular&list=introduction-to-medical-software&type=snipo,,Software Testing,To Learn,,1,00:30:00,
110 - The Singapore Guidance and AI/ML,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/2Zv29/the-singapore-guidance-and-ai-ml?v=introduction-to-medical-software/lecture/2Zv29/the-singapore-guidance-and-ai-ml&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:09:03,
112 - AI/ML and the Software Life Cycle (Prof. John Onofrey),Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/xCG7y/ai-ml-and-the-software-life-cycle-prof-john-onofrey?v=introduction-to-medical-software/lecture/xCG7y/ai-ml-and-the-software-life-cycle-prof-john-onofrey&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:14:49,
111 - Singapore Guidance on Medical Software,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/pNP5r/singapore-guidance-on-medical-software?v=introduction-to-medical-software/supplement/pNP5r/singapore-guidance-on-medical-software&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:30:00,
114 - Generalizable Multi-Site Training and Testing of Deep Neural Networks Using Image Normalization,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/f8VqY/generalizable-multi-site-training-and-testing-of-deep-neural-networks-using?v=introduction-to-medical-software/supplement/f8VqY/generalizable-multi-site-training-and-testing-of-deep-neural-networks-using&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:30:00,
118 - Funding for Digital Health Skyrockets (article),Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/K5qy3/funding-for-digital-health-skyrockets-article?v=introduction-to-medical-software/supplement/K5qy3/funding-for-digital-health-skyrockets-article&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:30:00,
105 - Deep Learning Review Paper,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/CmLJe/deep-learning-review-paper?v=introduction-to-medical-software/supplement/CmLJe/deep-learning-review-paper&list=introduction-to-medical-software&type=snipo,,"Artificial Intelligence, Machine Learning, and Deep Learning",To Learn,,1,00:10:00,
106 - A Guide to Deep Learning in Healthcare,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/Skxm8/a-guide-to-deep-learning-in-healthcare?v=introduction-to-medical-software/supplement/Skxm8/a-guide-to-deep-learning-in-healthcare&list=introduction-to-medical-software&type=snipo,,"Artificial Intelligence, Machine Learning, and Deep Learning",To Learn,,1,00:30:00,
117 - Changing Business Models in Healthcare,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/ztie2/changing-business-models-in-healthcare?v=introduction-to-medical-software/lecture/ztie2/changing-business-models-in-healthcare&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:15:38,
092 - Quiz 9,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/exam/UXUqi/quiz-9?v=introduction-to-medical-software/exam/UXUqi/quiz-9&list=introduction-to-medical-software&type=snipo,,Week 9 Quiz,To Learn,,1,00:30:00,
116 - Value Drivers in Digital Medicine,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Xbqxm/value-drivers-in-digital-medicine?v=introduction-to-medical-software/lecture/Xbqxm/value-drivers-in-digital-medicine&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:12:05,
120 - Future of Digital Health Drivers,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/Ih9Xy/future-of-digital-health-drivers?v=introduction-to-medical-software/supplement/Ih9Xy/future-of-digital-health-drivers&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:15:00,
098 - Creating a Validation Plan,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/kN1MG/creating-a-validation-plan?v=introduction-to-medical-software/lecture/kN1MG/creating-a-validation-plan&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:09:47,
121 - FDA: What is Digital Health,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/Ti9aR/fda-what-is-digital-health?v=introduction-to-medical-software/supplement/Ti9aR/fda-what-is-digital-health&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:10:00,
104 - Introduction to Deep Learning (Prof. Nicha Dvornek),Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/GiL1g/introduction-to-deep-learning-prof-nicha-dvornek?v=introduction-to-medical-software/lecture/GiL1g/introduction-to-deep-learning-prof-nicha-dvornek&list=introduction-to-medical-software&type=snipo,,"Artificial Intelligence, Machine Learning, and Deep Learning",To Learn,,1,00:16:43,
122 - FDA Guidance Documents that relate to Digital Health,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/eGLBD/fda-guidance-documents-that-relate-to-digital-health?v=introduction-to-medical-software/supplement/eGLBD/fda-guidance-documents-that-relate-to-digital-health&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:05:00,
043 - The Risk Management Process,Quality and Risk Management,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/Xb32m/the-risk-management-process?v=introduction-to-medical-software/lecture/Xb32m/the-risk-management-process&list=introduction-to-medical-software&type=snipo,,Introduction to Risk Management,To Learn,,1,00:09:08,
115 - Quiz 11,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/exam/ZoUh6/quiz-11?v=introduction-to-medical-software/exam/ZoUh6/quiz-11&list=introduction-to-medical-software&type=snipo,,Week 11 Quiz,To Learn,,1,00:30:00,
123 - Setting up a new Healthcare Venture,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/2vIrS/setting-up-a-new-healthcare-venture?v=introduction-to-medical-software/lecture/2vIrS/setting-up-a-new-healthcare-venture&list=introduction-to-medical-software&type=snipo,,Launching a Healthcare Venture (Dr. Ayesha Quraishi),To Learn,,1,00:18:58,
095 - Introduction to Clinical Trials,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/NbOHd/introduction-to-clinical-trials?v=introduction-to-medical-software/lecture/NbOHd/introduction-to-clinical-trials&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:09:00,
023 - Emerging Issues: AI/ML,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/nYLJk/emerging-issues-ai-ml?v=introduction-to-medical-software/lecture/nYLJk/emerging-issues-ai-ml&list=introduction-to-medical-software&type=snipo,,Contemporary Guidance and Regulatory Processes,To Learn,,1,00:05:29,
113 - Intriguing properties of neural networks,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/cyNEd/intriguing-properties-of-neural-networks?v=introduction-to-medical-software/supplement/cyNEd/intriguing-properties-of-neural-networks&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:30:00,
127 - Summary of Digital Health Ventures Financing,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/CthCe/summary-of-digital-health-ventures-financing?v=introduction-to-medical-software/supplement/CthCe/summary-of-digital-health-ventures-financing&list=introduction-to-medical-software&type=snipo,,Launching a Healthcare Venture (Dr. Ayesha Quraishi),To Learn,,1,00:20:00,
056 - Quiz 5,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/exam/BgnKX/quiz-5?v=introduction-to-medical-software/exam/BgnKX/quiz-5&list=introduction-to-medical-software&type=snipo,,Week 5 Quiz,To Learn,,1,00:30:00,
131 - Healthcare.gov presented by Daisha Roberts,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/yJCOP/healthcare-gov-presented-by-daisha-roberts?v=introduction-to-medical-software/lecture/yJCOP/healthcare-gov-presented-by-daisha-roberts&list=introduction-to-medical-software&type=snipo,,Healthcare.gov,To Learn,,1,00:06:50,
036 - Principles and Practices for Medical Device Cybersecurity,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/CnJ6j/principles-and-practices-for-medical-device-cybersecurity?v=introduction-to-medical-software/supplement/CnJ6j/principles-and-practices-for-medical-device-cybersecurity&list=introduction-to-medical-software&type=snipo,,Cybersecurity and Data Privacy,To Learn,,1,00:30:00,
"132 - Link to the full segment from NBC News' Coverage of the Launch of HealthCare.gov (Oct. 24, 2013)","Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/CVdPH/link-to-the-full-segment-from-nbc-news-coverage-of-the-launch-of-healthcare-gov?v=introduction-to-medical-software/supplement/CVdPH/link-to-the-full-segment-from-nbc-news-coverage-of-the-launch-of-healthcare-gov&list=introduction-to-medical-software&type=snipo,,Healthcare.gov,To Learn,,1,00:10:00,
136 - Iowa's Tally-by-App Experiment Fails,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/TasHL/iowas-tally-by-app-experiment-fails?v=introduction-to-medical-software/supplement/TasHL/iowas-tally-by-app-experiment-fails&list=introduction-to-medical-software&type=snipo,,Iowa Caucus,To Learn,,1,00:10:00,
133 - Health and Human Services Investigation,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/nLWZZ/health-and-human-services-investigation?v=introduction-to-medical-software/supplement/nLWZZ/health-and-human-services-investigation&list=introduction-to-medical-software&type=snipo,,Healthcare.gov,To Learn,,1,00:10:00,
130 - Fatal Dose - Radiation Deaths Linked to AECL Computer Errors,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/MuavA/fatal-dose-radiation-deaths-linked-to-aecl-computer-errors?v=introduction-to-medical-software/supplement/MuavA/fatal-dose-radiation-deaths-linked-to-aecl-computer-errors&list=introduction-to-medical-software&type=snipo,,Therac-25,To Learn,,1,00:10:00,
126 - Resources for Digital Health Venture Funding,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/1PWYA/resources-for-digital-health-venture-funding?v=introduction-to-medical-software/supplement/1PWYA/resources-for-digital-health-venture-funding&list=introduction-to-medical-software&type=snipo,,Launching a Healthcare Venture (Dr. Ayesha Quraishi),To Learn,,1,00:10:00,
140 - UK NHS Investigation Report,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/ItNny/uk-nhs-investigation-report?v=introduction-to-medical-software/supplement/ItNny/uk-nhs-investigation-report&list=introduction-to-medical-software&type=snipo,,WannaCry,To Learn,,1,00:10:00,
124 - Finding your First Paying Customer,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/N1qt0/finding-your-first-paying-customer?v=introduction-to-medical-software/lecture/N1qt0/finding-your-first-paying-customer&list=introduction-to-medical-software&type=snipo,,Launching a Healthcare Venture (Dr. Ayesha Quraishi),To Learn,,1,00:17:44,
141 - Descriptions and links to the complete videos on YouTube,Optional Supplement: Expert Interviews,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/MmSu8/descriptions-and-links-to-the-complete-videos-on-youtube?v=introduction-to-medical-software/supplement/MmSu8/descriptions-and-links-to-the-complete-videos-on-youtube&list=introduction-to-medical-software&type=snipo,,Interviews,To Learn,,1,00:10:00,
134 - Iowa 2020  Caucus App presented by  Alex Chen,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/xZWgd/iowa-2020-caucus-app-presented-by-alex-chen?v=introduction-to-medical-software/lecture/xZWgd/iowa-2020-caucus-app-presented-by-alex-chen&list=introduction-to-medical-software&type=snipo,,Iowa Caucus,To Learn,,1,00:09:15,
137 - Here's the Shadow Inc. App that Failed in Iowa Last Night,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/kEWA6/heres-the-shadow-inc-app-that-failed-in-iowa-last-night?v=introduction-to-medical-software/supplement/kEWA6/heres-the-shadow-inc-app-that-failed-in-iowa-last-night&list=introduction-to-medical-software&type=snipo,,Iowa Caucus,To Learn,,1,00:10:00,
094 - Software as Medical Device (SAMD): Clinical Evaluation. Guidance for Industry and Food and Drug Administration Staff,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/oZkbS/software-as-medical-device-samd-clinical-evaluation-guidance-for-industry-and?v=introduction-to-medical-software/supplement/oZkbS/software-as-medical-device-samd-clinical-evaluation-guidance-for-industry-and&list=introduction-to-medical-software&type=snipo,,Software Validation,To Learn,,1,00:30:00,
088 - Statistical Significance,Probability and Statistics,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/01Gd0/statistical-significance?v=introduction-to-medical-software/lecture/01Gd0/statistical-significance&list=introduction-to-medical-software&type=snipo,,Tools for Clinical Trials,To Learn,,1,00:11:11,
128 - Therac-25 presented by AnMei Little,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/7Jgox/therac-25-presented-by-anmei-little?v=introduction-to-medical-software/lecture/7Jgox/therac-25-presented-by-anmei-little&list=introduction-to-medical-software&type=snipo,,Therac-25,To Learn,,1,00:08:38,
138 - WannaCry and the UK NHS presented by Ellie Gabriel,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/MSiww/wannacry-and-the-uk-nhs-presented-by-ellie-gabriel?v=introduction-to-medical-software/lecture/MSiww/wannacry-and-the-uk-nhs-presented-by-ellie-gabriel&list=introduction-to-medical-software&type=snipo,,WannaCry,To Learn,,1,00:06:56,
029 - Development of Electronic Health Record,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/Zj9dt/development-of-electronic-health-record?v=introduction-to-medical-software/supplement/Zj9dt/development-of-electronic-health-record&list=introduction-to-medical-software&type=snipo,,The Clinical Environment,To Learn,,1,00:30:00,
"135 - Link to the full segment from MSNBC's Coverage of the Iowa Democratic Party Caucus ","Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/oKyBS/link-to-the-full-segment-from-msnbc-s-coverage-of-the-iowa-democratic-party?v=introduction-to-medical-software/supplement/oKyBS/link-to-the-full-segment-from-msnbc-s-coverage-of-the-iowa-democratic-party&list=introduction-to-medical-software&type=snipo,,Iowa Caucus,To Learn,,1,00:10:00,
139 - Link to the BBC News Segment used as part of the presentation,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/6oUh4/link-to-the-bbc-news-segment-used-as-part-of-the-presentation?v=introduction-to-medical-software/supplement/6oUh4/link-to-the-bbc-news-segment-used-as-part-of-the-presentation&list=introduction-to-medical-software&type=snipo,,WannaCry,To Learn,,1,00:10:00,
109 - Perspectives and Good Practices for AI and Continuously Learning Systems in Healthcare,Machine Learning,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/Vhl9D/perspectives-and-good-practices-for-ai-and-continuously-learning-systems-in?v=introduction-to-medical-software/supplement/Vhl9D/perspectives-and-good-practices-for-ai-and-continuously-learning-systems-in&list=introduction-to-medical-software&type=snipo,,Regulatory Issues in using AI/ML for Medical Applications,To Learn,,1,00:30:00,first weeks
074 - Quiz 7,Software Architecture Design and Usability Engineering,No,https://www.coursera.org/learn/introduction-to-medical-software/exam/VqpAs/quiz-7?v=introduction-to-medical-software/exam/VqpAs/quiz-7&list=introduction-to-medical-software&type=snipo,,Week 7 Quiz,To Learn,,1,00:30:00,
129 - An Investigation of the Therac-25 Accidents,"Optional Supplement: Case Studies ",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/XxFMq/an-investigation-of-the-therac-25-accidents?v=introduction-to-medical-software/supplement/XxFMq/an-investigation-of-the-therac-25-accidents&list=introduction-to-medical-software&type=snipo,,Therac-25,To Learn,,1,00:30:00,
119 - Drivers of Digital Health Growth,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/NQcPO/drivers-of-digital-health-growth?v=introduction-to-medical-software/supplement/NQcPO/drivers-of-digital-health-growth&list=introduction-to-medical-software&type=snipo,,Digital Medicine and Business (Dr. Gregory Licholai),To Learn,,1,00:20:00,
"026 - Patients, Doctors and ???","The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/bR1cB/patients-doctors-and?v=introduction-to-medical-software/lecture/bR1cB/patients-doctors-and&list=introduction-to-medical-software&type=snipo,,The Clinical Environment,To Learn,,1,00:08:23,
099 - Deployment,"Software Validation, Deployment, Maintenance and Retirement",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/1Vpzi/deployment?v=introduction-to-medical-software/lecture/1Vpzi/deployment&list=introduction-to-medical-software&type=snipo,,"Deployment, Maintenance, and Retirement",To Learn,,1,00:07:45,
125 - When and how to Raise Capital,Business and Management Issues,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/xsWyX/when-and-how-to-raise-capital?v=introduction-to-medical-software/lecture/xsWyX/when-and-how-to-raise-capital&list=introduction-to-medical-software&type=snipo,,Launching a Healthcare Venture (Dr. Ayesha Quraishi),To Learn,,1,00:22:41,
050 - Case Study of the use of Agile Techniques in Medical Software,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/t0MQa/case-study-of-the-use-of-agile-techniques-in-medical-software?v=introduction-to-medical-software/supplement/t0MQa/case-study-of-the-use-of-agile-techniques-in-medical-software&list=introduction-to-medical-software&type=snipo,,Life Cycles and the IEC 62304 Standard,To Learn,,1,00:30:00,
